Lake,dist.date,recov.date,Year,peak.z,peak.date,Pigment,dist_length,log_peakz,log_length,Trophic_Status
Giles,121,166,2020,138.1354167,148,Chlorophyll-a,45,2.140305042,1.653212514,Oligotrophic
Lacawac,122,132,2024,3.161038738,124,Chlorophyll-a,10,0.499829818,1,Mesotrophic
Lacawac,235,245,2024,5.947309053,240,Chlorophyll-a,10,0.774320507,1,Mesotrophic
Lacawac,306,318,2019,15.59214363,311,Chlorophyll-a,12,1.192905827,1.079181246,Mesotrophic
Lacawac,140,154,2022,6.597525315,146,Chlorophyll-a,14,0.819381065,1.146128036,Mesotrophic
Lacawac,261,277,2024,52.47826249,270,Chlorophyll-a,16,1.719979447,1.204119983,Mesotrophic
Lacawac,174,195,2024,37.97217842,183,Chlorophyll-a,21,1.579465513,1.322219295,Mesotrophic
Lacawac,20,72,2020,27.0695741,30,Chlorophyll-a,52,1.432481423,1.716003344,Mesotrophic
Lacawac,81,146,2020,24.95059829,91,Chlorophyll-a,65,1.397080964,1.812913357,Mesotrophic
Lillinonah,190,197,2012,2.850811329,194,Chlorophyll-a,7,0.454968476,0.84509804,Oligotrophic
Lillinonah,218,227,2016,3.191739602,223,Chlorophyll-a,9,0.504027452,0.954242509,Oligotrophic
Lillinonah,219,231,2013,2.500712806,220,Chlorophyll-a,12,0.398063818,1.079181246,Oligotrophic
Lillinonah,197,213,2014,7.614280818,205,Chlorophyll-a,16,0.88162889,1.204119983,Oligotrophic
Lillinonah,165,183,2012,4.057224848,169,Chlorophyll-a,18,0.608229077,1.255272505,Oligotrophic
Lillinonah,230,248,2012,3.2502342,235,Phycocyanin,18,0.511914656,1.255272505,Oligotrophic
Lillinonah,172,193,2013,7.272654719,178,Chlorophyll-a,21,0.861692969,1.322219295,Oligotrophic
Lillinonah,238,265,2013,3.815562531,245,Phycocyanin,27,0.581558575,1.431363764,Oligotrophic
Lillinonah,214,242,2011,4.140560927,222,Chlorophyll-a,28,0.617059179,1.447158031,Oligotrophic
Lillinonah,176,227,2015,8.683158745,194,Phycocyanin,51,0.938677741,1.707570176,Oligotrophic
Lillinonah,185,261,2014,22.87563962,219,Phycocyanin,76,1.359373246,1.880813592,Oligotrophic
Little Rock,112,119,2025,2.741987246,114,Chlorophyll-a,7,0.43806543,0.84509804,Mesotrophic
Little Rock,248,257,2019,4.11293459,252,Chlorophyll-a,9,0.614151803,0.954242509,Mesotrophic
Little Rock,212,221,2020,4.514686134,214,Chlorophyll-a,9,0.654627563,0.954242509,Mesotrophic
Little Rock,256,267,2025,2.805482188,258,Chlorophyll-a,11,0.448007516,1.041392685,Mesotrophic
Little Rock,87,111,2024,2.756871,91,Chlorophyll-a,24,0.440416445,1.380211242,Mesotrophic
Little Rock,201,250,2023,8.356615129,240,Chlorophyll-a,49,0.922030401,1.69019608,Mesotrophic
Muskegon,191,206,2015,3.604235259,195,Chlorophyll-a,15,0.556813131,1.176091259,Mesotrophic
Muskegon,205,226,2025,21.38325089,216,Chlorophyll-a,21,1.330073731,1.322219295,Mesotrophic
Muskegon,245,267,2012,5.092352695,252,Chlorophyll-a,22,0.706918475,1.342422681,Mesotrophic
Muskegon,150,175,2015,3.793745376,153,Chlorophyll-a,25,0.579068179,1.397940009,Mesotrophic
Onondaga,171,177,2013,2.767621047,173,Chlorophyll-a,6,0.442106625,0.77815125,Eutrophic
Onondaga,300,308,2012,3.005670864,303,Chlorophyll-a,8,0.477941421,0.903089987,Eutrophic
Onondaga,157,166,2005,2.922106322,160,Chlorophyll-a,9,0.465696014,0.954242509,Eutrophic
Onondaga,136,146,2018,3.666200511,140,Chlorophyll-a,10,0.564216214,1,Eutrophic
Onondaga,172,184,2001,7.4657644,175,Chlorophyll-a,12,0.873074281,1.079181246,Eutrophic
Onondaga,252,264,2002,3.031338113,255,Chlorophyll-a,12,0.48163438,1.079181246,Eutrophic
Onondaga,281,293,2003,6.872613138,287,Chlorophyll-a,12,0.837121898,1.079181246,Eutrophic
Onondaga,138,150,2014,4.687846395,142,Chlorophyll-a,12,0.670973373,1.079181246,Eutrophic
Onondaga,191,204,2001,5.714976691,193,Chlorophyll-a,13,0.757014463,1.113943352,Eutrophic
Onondaga,226,239,2003,6.074679573,231,Chlorophyll-a,13,0.783523375,1.113943352,Eutrophic
Onondaga,94,108,2006,17.00773303,97,Chlorophyll-a,14,1.23064643,1.146128036,Eutrophic
Onondaga,137,151,2015,5.063838732,142,Chlorophyll-a,14,0.704479866,1.146128036,Eutrophic
Onondaga,196,210,2022,2.919434154,201,Chlorophyll-a,14,0.465298685,1.146128036,Eutrophic
Onondaga,273,288,2005,7.298747126,279,Chlorophyll-a,15,0.863248317,1.176091259,Eutrophic
Onondaga,198,213,2012,5.331961957,205,Chlorophyll-a,15,0.726887042,1.176091259,Eutrophic
