Lake,Year,Manual_Chl,DOYtrunc
R,2010,1.352579223,144
R,2010,3.601468443,151
R,2010,6.823035152,158
R,2010,14.35962164,165
R,2010,11.34938934,172
R,2010,8.359496453,179
R,2010,5.364212492,186
R,2010,4.09280802,193
R,2010,3.77875592,200
R,2010,3.044279233,207
R,2010,3.788886632,214
R,2010,4.259964783,221
R,2010,4.872872915,228
R,2010,4.401794764,235
R,2011,7.638441849,136
R,2011,6.939147877,143
R,2011,7.351552014,150
R,2011,3.076285573,157
R,2011,2.208287984,164
R,2011,3.808126678,171
R,2011,2.752913922,178
R,2011,1.701956057,185
R,2011,2.131699962,192
R,2011,2.586973207,199
R,2011,2.663561229,206
R,2011,4.063420087,213
R,2011,6.562604969,221
R,2011,6.168131446,227
R,2011,4.667614487,234
R,2011,3.216696948,241
R,2012,4.885824181,142
R,2012,3.620874152,149
R,2012,1.734047265,156
R,2012,2.729247484,163
R,2012,2.993835885,170
R,2012,3.098946346,177
R,2012,1.738649678,184
R,2012,2.834357945,191
R,2012,2.439287592,198
R,2012,2.294307646,205
R,2012,2.653133012,212
R,2012,3.664368136,219
R,2012,3.570131171,226
R,2012,3.84196857,233
R,2012,3.080823853,240
R,2016,5.18089123,137
R,2016,2.854171979,144
R,2016,3.690078188,151
R,2016,5.767071028,158
R,2016,6.237342134,165
R,2016,5.571435338,172
R,2016,5.906343275,179
R,2016,2.416355306,186
R,2016,3.838532222,193
R,2016,2.682627115,200
R,2016,2.484627798,207
R,2016,2.18926518,214
R,2016,3.544260509,221
R,2016,2.336628308,228
R,2018,2.340254468,148
R,2018,3.964667917,155
R,2018,2.174482123,162
R,2018,4.789382094,169
R,2018,2.869261369,176
R,2018,3.349275349,183
R,2018,1.886681112,190
R,2018,2.820851697,197
R,2018,3.590351629,204
R,2018,3.857026062,211
R,2018,3.578881064,218
R,2018,1.923685025,225
R,2018,1.814358228,232
R,2021,6.77906819,144
R,2021,3.30039721,151
R,2021,1.912423961,158
R,2021,3.813974944,165
R,2021,4.751311722,172
R,2021,3.006611513,179
R,2021,1.468533759,186
R,2021,1.899182612,193
R,2021,2.257488486,200
R,2021,3.82337666,207
R,2021,7.004314657,214
R,2021,6.901362273,221
R,2021,3.284931028,228
R,2022,3.443884628,150
R,2022,5.80473458,157
R,2022,4.288996669,164
R,2022,3.120759834,171
R,2022,3.483452219,178
R,2022,5.578165414,186
R,2022,4.62625454,199
R,2022,4.478913136,206
R,2022,1.86490582,213
R,2022,2.737442523,220
R,2023,1.401214599,150
R,2023,1.292807784,157
R,2023,2.372838935,164
R,2023,1.609039182,171
R,2023,1.98566405,178
R,2023,2.683902978,186
R,2023,2.003911274,192
R,2023,2.179978152,199
R,2023,2.081313955,206
R,2023,2.163883992,213
R,2023,1.240057695,219
R,2011,7.65637,136
R,2011,5.40797,137
R,2011,8.75014,138
R,2011,7.58465,139
R,2011,6.11853,140
R,2011,8.26601,141
R,2011,5.97387,142
R,2011,7.06466,143
R,2011,6.84949,144
R,2011,4.86759,145
R,2011,4.42934,146
R,2011,3.53581,147
R,2011,4.71442,148
R,2011,4.24638,149
R,2011,8.75014,150
R,2011,5.06757,151
R,2011,5.08034,152
R,2011,3.7443,153
R,2011,4.11022,154
R,2011,2.51889,155
R,2011,2.12745,156
R,2011,2.55719,157
R,2011,2.02958,158
R,2011,1.73174,159
R,2011,2.58272,160
R,2011,2.72313,161
R,2011,2.45082,162
R,2011,2.22105,163
R,2011,1.90194,164
R,2011,2.42954,165
R,2011,2.32742,166
R,2011,3.80813,167
R,2011,2.1785,168
R,2011,1.99554,169
R,2011,3.76132,170
R,2011,3.28478,171
R,2011,3.12734,172
R,2011,3.13585,173
R,2011,3.76983,174
R,2011,2.79546,175
R,2011,1.89768,176
R,2011,1.63388,177
R,2011,2.88907,178
R,2011,3.0848,179
R,2011,2.07213,180
R,2011,2.79972,181
R,2011,2.05937,182
R,2011,1.66792,183
R,2011,1.519,184
R,2011,4.41232,185
R,2011,1.84237,186
R,2011,1.37413,187
R,2011,2.92311,188
R,2011,1.68919,189
R,2011,2.54868,190
R,2011,2.1785,191
R,2011,2.02107,192
R,2011,2.4338,193
R,2011,2.267856446,194
R,2011,3.055011123,195
R,2011,1.893426114,196
R,2011,1.829602761,197
R,2011,1.833857652,198
R,2011,2.655051449,199
R,2011,1.757269629,200
R,2011,2.79546,201
R,2011,1.84237,202
R,2011,1.70621,203
R,2011,3.03374,204
R,2011,2.23807,205
R,2011,2.69335,206
R,2011,2.42954,207
R,2011,3.10181,208
R,2011,2.56144,209
R,2011,2.65931,210
R,2011,2.88482,211
R,2011,3.06778,212
R,2011,3.81664,213
R,2011,5.55263,214
R,2011,5.02503,215
R,2011,4.96971,216
R,2011,4.58252,217
R,2011,4.47614,218
R,2011,5.02503,219
R,2011,5.32712,220
R,2011,5.83345,221
R,2011,7.20811,222
R,2011,6.93915,223
R,2011,6.41916,224
R,2011,6.50881,225
R,2011,6.52674,226
R,2011,6.11434,227
R,2011,5.39095,228
R,2011,4.44636,229
R,2011,4.49316,230
R,2011,4.40381,231
R,2011,4.62507,232
R,2011,4.59954,233
R,2011,4.36977,234
R,2011,3.91875,235
R,2011,3.47625,236
R,2011,3.04225,237
R,2011,3.02097,238
R,2011,2.63378,239
R,2011,2.9614,240
R,2011,2.47635,241
R,2011,2.2168,242
R,2011,2.82099,243
R,2011,3.17415,244
R,2011,3.39966,245
R,2011,2.7444,246
R,2018,1.217370408,148
R,2018,1.78739916,149
R,2018,1.82245891,150
R,2018,3.140861017,151
R,2018,3.868237405,152
R,2018,1.531288016,153
R,2018,2.974699839,154
R,2018,4.301073017,155
R,2018,2.372592388,156
R,2018,3.233727229,157
R,2018,2.362093905,158
R,2018,2.296316372,159
R,2018,2.720338441,160
R,2018,2.470643036,161
R,2018,2.023291004,162
R,2018,2.611400477,163
R,2018,2.826036133,164
R,2018,2.40220848,165
R,2018,3.790989307,166
R,2018,2.885657148,167
R,2018,3.992534262,168
R,2018,4.191940636,169
R,2018,4.573255913,170
R,2018,3.5460247,171
R,2018,2.773867744,172
R,2018,2.215568779,173
R,2018,2.179212921,174
R,2018,2.196515976,175
R,2018,2.01622721,176
R,2018,2.109352644,177
R,2018,1.851815779,178
R,2018,1.967623121,179
R,2018,1.601861152,180
R,2018,3.758262554,181
R,2018,1.357739016,182
R,2018,2.467921207,183
R,2018,2.265728199,184
R,2018,2.189452182,185
R,2018,3.280775987,186
R,2018,2.446016965,187
R,2018,3.04008854,188
R,2018,2.652163106,189
R,2018,2.275189794,190
R,2018,2.128599863,191
R,2018,2.295862734,192
R,2018,2.554566096,193
R,2018,2.815732066,194
R,2018,3.529888143,195
R,2018,2.26086779,196
R,2018,3.024340815,197
R,2018,2.713922702,198
R,2018,2.519311931,199
R,2018,2.532726659,200
R,2018,3.126344596,201
R,2018,3.851193572,202
R,2018,3.868691044,203
R,2018,3.429374887,204
R,2018,3.16146915,205
R,2018,3.043523229,206
R,2018,4.178525908,207
R,2018,4.502358749,208
R,2018,3.187844969,209
R,2018,3.676348463,210
R,2018,2.577701642,211
R,2018,2.618723493,212
R,2018,3.160367458,213
R,2018,3.935440659,214
R,2018,3.883725908,215
R,2018,3.342859609,216
R,2018,2.91170894,217
R,2018,3.643427294,218
R,2018,2.556575065,219
R,2018,2.711395289,220
R,2018,2.671604742,221
R,2018,2.105399511,222
R,2018,1.932887399,223
R,2018,1.372709076,224
R,2018,1.625579948,225
R,2018,1.907354051,226
R,2018,1.834123891,227
